County,Tract,whNum90,whPer90,blNum90,blPer90,aiNum90,aiPer90,asNum90,asPer90,otNum90,otPer90,hiNum90,hiPer90,0-4Num90,0-4Per90,5-17Num90,5-17Per90,0-17Num90,0-17Per90,18-34Num90,18-34Per90,35-59Num90,35-59Per90,60+Num90,60+Per90,60-64Num90,60-64Per90,65+Num90,65+Per90,acRatio90,whNum00,whPer00,blNum00,blPer00,aiNum00,aiPer00,asNum00,asPer00,otNum00,otPer00,hiNum00,hiPer00,0-4Num00,0-4Per00,5-17Num00,5-17Per00,0-17Num00,0-17Per00,18-34Num00,18-34Per00,35-59Num00,35-59Per00,60+Num00,60+Per00,60-64Num00,60-64Per00,65+Num00,65+Per00,acRatio00,whNum10,whPer10,blNum10,blPer10,aiNum10,aiPer10,asNum10,asPer10,otNum10,otPer10,hiNum10,hiPer10,0-4Num10,0-4Per10,5-17Num10,5-17Per10,0-17Num10,0-17Per10,18-34Num10,18-34Per10,35-59Num10,35-59Per10,60+Num10,60+Per10,60-64Num10,60-64Per10,65+Num10,65+Per10,acRatio10,"Population/square mile, 1990","Population/square mile, 2000","Population/square mile, 2010",area90,area00
Cuyahoga,1021.01,3133,93.02,66,1.96,5,0.15,19,0.56,145,4.31,246,7.3,266,7.9,487,14.46,753,22.36,1142,33.91,858,25.48,615,18.26,149,4.42,466,13.84,3.47,2683,79.73,334,9.93,24,0.71,79,2.35,245,7.28,454,13.49,291,8.65,577,17.15,868,25.79,941,27.96,1146,34.06,410,12.18,108,3.21,302,8.97,2.88,1903,60.37,677,21.48,21,0.67,57,1.81,494,15.67,712,22.59,237,7.52,591,18.75,828,26.27,783,24.84,1154,36.61,387,12.28,163,5.17,224,7.11,2.81,12892.33,12880.85,12065.51,0.280321711,0.261240598
Cuyahoga,1021.02,2457,92.99,80,3.03,15,0.57,37,1.4,53,2.01,93,3.53,197,7.46,407,15.42,604,22.88,859,32.5,694,26.25,485,18.37,123,4.66,362,13.71,3.37,2014,76.96,316,12.07,17,0.65,100,3.82,170,6.5,301,11.5,211,8.06,442,16.89,653,24.95,672,25.68,894,34.16,398,15.21,94,3.59,304,11.62,3.01,1574,62.66,416,16.56,9,0.36,109,4.34,404,16.08,628,25,196,7.8,412,16.4,608,24.2,598,23.81,956,38.06,350,13.93,111,4.42,239,9.51,3.13,8334.87,8256.57,7925.3,0.328139491,0.316981549
Cuyahoga,1022,2689,92,48,1.64,11,0.38,57,1.95,118,4.03,181,6.19,235,8.05,462,15.82,698,23.87,890,30.44,788,26.97,547,18.72,141,4.82,406,13.9,3.19,2248,79.38,214,7.56,10,0.35,119,4.2,241,8.51,421,14.87,200,7.06,481,16.98,681,24.05,711,25.11,1000,35.31,440,15.54,116,4.1,324,11.44,3.16,1658,60.29,474,17.24,14,0.51,125,4.55,479,17.42,625,22.73,190,6.91,511,18.58,701,25.49,665,24.18,995,36.18,389,14.15,132,4.8,257,9.35,2.92,8373.99,8113.99,7879.05,0.370671568,0.348937603
Cuyahoga,1023,2205,90,38,1.55,16,0.65,57,2.33,134,5.47,231,9.43,220,8.98,469,19.14,689,28.12,775,31.63,622,25.39,364,14.86,99,4.04,265,10.82,2.56,1910,77.11,225,9.08,25,1.01,49,1.98,268,10.82,510,20.59,248,10.01,569,22.97,817,32.98,653,26.36,737,29.75,270,10.9,56,2.26,214,8.64,2.03,1255,54.97,506,22.16,17,0.74,52,2.28,453,19.84,729,31.93,206,9.02,559,24.49,765,33.51,559,24.49,756,33.11,203,8.89,56,2.45,147,6.44,1.98,13584.07,13733.77,12658.13,0.197363529,0.180358317
Cuyahoga,1024.01,2186,91.93,26,1.09,22,0.92,41,1.72,103,4.33,221,9.29,247,10.37,501,21.04,747,31.41,717,30.14,613,25.78,302,12.67,79,3.32,223,9.35,2.18,1739,73.47,302,12.76,16,0.68,48,2.03,262,11.07,447,18.88,223,9.42,603,25.48,826,34.9,607,25.64,685,28.94,249,10.52,62,2.62,187,7.9,1.87,1198,56.67,445,21.05,14,0.66,29,1.37,428,20.25,673,31.84,186,8.8,499,23.6,685,32.4,518,24.5,684,32.36,227,10.74,81,3.83,146,6.91,2.09,11902.38,11845.14,10579.06,0.218359689,0.199960008
Cuyahoga,1024.02,3368,92.65,36,0.99,28,0.77,44,1.21,159,4.37,334,9.19,404,11.11,824,22.67,1228,33.78,1133,31.17,900,24.76,374,10.29,108,2.97,266,7.32,1.96,2693,73.6,345,9.43,11,0.3,62,1.69,548,14.98,951,25.99,332,9.07,961,26.26,1293,35.34,959,26.21,1072,29.3,335,9.16,105,2.87,230,6.29,1.83,1770,55.21,706,22.02,25,0.78,50,1.56,655,20.43,941,29.35,286,8.92,737,22.99,1023,31.91,833,25.98,1030,32.13,320,9.99,122,3.81,198,6.18,2.13,16184.81,16291.67,14274.69,0.245229941,0.224593307
Cuyahoga,1025,600,88.89,18,2.67,4,0.59,6,0.89,47,6.96,107,15.85,63,9.33,144,21.33,207,30.67,193,28.59,165,24.44,110,16.29,36,5.33,74,10.96,2.26,405,64.59,139,22.17,4,0.64,3,0.48,76,12.12,168,26.79,67,10.69,166,26.48,233,37.16,160,25.52,171,27.27,63,10.05,21,3.35,42,6.7,1.69,309,53.93,130,22.69,1,0.17,1,0.17,132,23.04,135,23.56,60,10.47,134,23.39,194,33.86,145,25.31,199,34.73,35,6.11,6,1.05,29,5.06,1.95,4589.04,4262.71,3895.59,0.170406011,0.147089587
Cuyahoga,1026,1582,84.83,46,2.47,16,0.86,4,0.21,217,11.64,315,16.89,208,11.15,406,21.77,614,32.92,578,30.99,458,24.56,215,11.53,69,3.7,146,7.83,2.04,1265,72.04,190,10.82,18,1.03,18,1.03,265,15.09,468,26.65,176,10.02,459,26.14,635,36.16,432,24.6,499,28.42,190,10.82,50,2.85,140,7.97,1.77,818,60.24,307,22.61,6,0.44,1,0.07,226,16.64,337,24.82,130,9.57,292,21.5,422,31.08,345,25.41,440,32.4,151,11.12,50,3.68,101,7.44,2.22,4420.51,4162.16,3218.8,0.493155767,0.421897021
Cuyahoga,1027,3731,86.19,104,2.4,15,0.35,91,2.1,388,8.96,579,13.37,424,9.79,961,22.2,1385,31.99,1276,29.48,1093,25.25,575,13.28,145,3.35,430,9.93,2.13,2964,68.96,531,12.35,26,0.6,84,1.95,693,16.12,1198,27.87,429,9.98,1096,25.5,1525,35.48,1132,26.34,1210,28.15,431,10.02,127,2.95,304,7.07,1.82,1915,53.58,870,24.34,28,0.78,33,0.92,728,20.37,1201,33.6,378,10.58,829,23.2,1207,33.77,995,27.84,1007,28.18,365,10.21,119,3.33,246,6.88,1.96,8774.1,8711.27,7243.85,0.559373611,0.493383937
Cuyahoga,1028,1954,78.73,58,2.34,23,0.93,46,1.85,401,16.16,615,24.78,300,12.09,552,22.24,852,34.33,738,29.73,573,23.09,319,12.86,92,3.71,227,9.15,1.91,1871,67.37,353,12.71,44,1.58,36,1.3,473,17.03,960,34.57,303,10.91,742,26.72,1045,37.63,738,26.58,754,27.15,240,8.64,72,2.59,168,6.05,1.66,993,48.49,504,24.61,15,0.73,20,0.98,516,25.2,754,36.82,170,8.3,471,23,641,31.3,509,24.85,663,32.37,235,11.48,78,3.81,157,7.67,2.2,14121.69,15800.14,11652.39,0.219308029,0.175758001
Cuyahoga,1029,1807,79.18,47,2.06,11,0.48,23,1.01,394,17.27,693,30.37,209,9.16,423,18.54,632,27.7,685,30.02,552,24.19,413,18.1,94,4.12,319,13.98,2.61,1512,63.91,215,9.09,11,0.46,16,0.68,612,25.87,1092,46.15,208,8.79,562,23.75,770,32.54,588,24.85,701,29.63,307,12.97,76,3.21,231,9.76,2.07,975,49.72,346,17.64,11,0.56,5,0.25,624,31.82,957,48.8,157,8.01,431,21.98,588,29.98,473,24.12,651,33.2,249,12.7,89,4.54,160,8.16,2.34,11432.39,11853.22,9824.24,0.260225552,0.199608306
Cuyahoga,1031,1023,80.17,57,4.47,20,1.57,67,5.25,109,8.55,150,11.76,118,9.25,252,19.75,370,29,369,28.92,320,25.08,217,17.01,51,4,166,13.01,2.45,819,69.41,221,18.73,18,1.53,18,1.53,104,8.81,226,19.15,97,8.22,252,21.36,349,29.58,315,26.69,409,34.66,107,9.07,34,2.88,73,6.19,2.38,623,59.11,202,19.17,11,1.04,25,2.37,193,18.31,268,25.43,80,7.59,174,16.51,254,24.1,307,29.13,381,36.15,112,10.63,43,4.08,69,6.55,3.15,5420.24,5014.37,4478.93,0.263087981,0.23541393
Cuyahoga,1032,778,78.75,190,19.22,2,0.2,6,0.61,12,1.21,45,4.55,39,3.95,118,11.94,157,15.89,221,22.37,318,32.19,292,29.55,44,4.45,248,25.1,5.29,601,66.7,260,28.86,10,1.11,4,0.44,26,2.89,53,5.88,24,2.66,131,14.54,155,17.2,168,18.65,380,42.18,198,21.97,33,3.66,165,18.31,4.81,551,65.21,234,27.69,1,0.12,13,1.54,46,5.44,67,7.93,32,3.79,57,6.75,89,10.53,212,25.09,333,39.41,211,24.97,57,6.75,154,18.22,8.49,1720.62,1568.33,1470.85,0.600364985,0.574211621
Cuyahoga,1033,168,12.88,1086,83.28,8,0.61,1,0.08,41,3.14,78,5.98,206,15.8,293,22.47,499,38.27,380,29.14,299,22.93,126,9.66,48,3.68,78,5.98,1.61,205,17.27,932,78.52,9,0.76,2,0.17,39,3.29,77,6.49,173,14.57,217,18.28,390,32.86,311,26.2,366,30.83,120,10.11,34,2.86,86,7.25,2.04,552,24.98,1451,65.66,8,0.36,56,2.53,143,6.47,226,10.23,252,11.4,343,15.52,595,26.92,830,37.56,656,29.68,129,5.84,66,2.99,63,2.85,2.71,6753.77,6147.8,11446.19,0.204626453,0.193077348
Cuyahoga,1034,2587,69.47,385,10.34,23,0.62,109,2.93,620,16.65,878,23.58,371,9.96,906,24.33,1277,34.29,1071,28.76,926,24.87,450,12.08,161,4.32,289,7.76,1.92,2034,59.51,838,24.52,20,0.59,26,0.76,500,14.63,937,27.41,330,9.65,837,24.49,1167,34.14,908,26.57,1016,29.72,327,9.57,83,2.43,244,7.14,1.93,1487,53.68,772,27.87,11,0.4,33,1.19,467,16.86,771,27.83,225,8.12,499,18.01,724,26.14,737,26.61,949,34.26,360,12.99,127,4.58,233,8.41,2.83,14486.83,13296.45,10775.65,0.31766784,0.257061069
Cuyahoga,1035,1818,70.71,234,9.1,11,0.43,11,0.43,497,19.33,696,27.07,254,9.88,554,21.55,808,31.43,808,31.43,664,25.83,291,11.32,99,3.85,192,7.47,2.18,1434,65.03,351,15.92,23,1.04,40,1.81,357,16.19,648,29.39,189,8.57,435,19.73,624,28.3,673,30.52,689,31.25,219,9.93,64,2.9,155,7.03,2.53,1005,59.79,343,20.4,31,1.84,7,0.42,295,17.55,498,29.63,131,7.79,248,14.75,379,22.55,559,33.25,553,32.9,190,11.3,74,4.4,116,6.9,3.44,13596.22,11660.7,8889.63,0.240287374,0.189096675
Cuyahoga,1036,1394,74.35,284,15.15,11,0.59,13,0.69,173,9.23,288,15.36,119,6.35,200,10.67,319,17.01,642,34.24,532,28.37,382,20.38,98,5.23,284,15.15,4.88,1354,73.51,332,18.02,12,0.65,20,1.09,124,6.73,266,14.44,80,4.34,140,7.6,220,11.94,559,30.35,696,37.79,367,19.92,75,4.07,292,15.85,7.37,1119,74.35,232,15.42,5,0.33,25,1.66,124,8.24,181,12.03,72,4.78,76,5.05,148,9.83,525,34.88,604,40.13,228,15.15,98,6.51,130,8.64,9.17,9032.71,8873.73,7250.25,0.239463018,0.207578899
Cuyahoga,1037,370,34.55,584,54.53,6,0.56,0,0,111,10.36,154,14.38,104,9.71,280,26.14,384,35.85,260,24.28,270,25.21,157,14.66,46,4.3,111,10.36,1.79,269,43.6,317,51.38,5,0.81,9,1.46,17,2.76,37,6,19,3.08,60,9.72,79,12.8,152,24.64,263,42.63,123,19.94,33,5.35,90,14.59,6.81,299,32.64,530,57.86,2,0.22,9,0.98,76,8.3,87,9.5,23,2.51,66,7.21,89,9.72,151,16.48,472,51.53,204,22.27,89,9.72,115,12.55,9.29,6630.19,3819.63,5670.63,0.184760919,0.161533832
Cuyahoga,1038,1739,69.9,167,6.71,24,0.96,30,1.21,528,21.22,755,30.35,259,10.41,612,24.6,871,35.01,732,29.42,592,23.79,293,11.78,90,3.62,203,8.16,1.86,1374,63,320,14.67,7,0.32,15,0.69,465,21.32,890,40.81,220,10.09,558,25.58,778,35.67,550,25.22,648,29.71,205,9.4,68,3.12,137,6.28,1.8,1029,60.82,271,16.02,6,0.35,13,0.77,373,22.04,643,38,138,8.16,314,18.56,452,26.71,465,27.48,565,33.39,210,12.41,66,3.9,144,8.51,2.74,8932.27,7830.1,6074.52,0.363065604,0.278540617
Cuyahoga,1039,1824,60.94,202,6.75,23,0.77,8,0.27,936,31.27,1418,47.38,311,10.39,678,22.65,989,33.04,943,31.51,724,24.19,337,11.26,87,2.91,250,8.35,2.03,1553,60.19,374,14.5,27,1.05,42,1.63,584,22.64,1166,45.19,229,8.88,646,25.04,875,33.91,628,24.34,799,30.97,278,10.78,84,3.26,194,7.52,1.95,1043,51.08,417,20.42,23,1.13,21,1.03,538,26.35,903,44.22,166,8.13,349,17.09,515,25.22,567,27.77,679,33.25,281,13.76,89,4.36,192,9.4,2.97,7729.34,6662.78,5273.41,0.57068262,0.387225817
Cuyahoga,1041,1153,71.53,101,6.27,14,0.87,3,0.19,341,21.15,575,35.67,150,9.31,326,20.22,476,29.53,426,26.43,401,24.88,309,19.16,76,4.71,233,14.45,2.39,965,66.97,220,15.27,16,1.11,15,1.04,225,15.61,521,36.16,109,7.56,267,18.53,376,26.09,361,25.05,471,32.69,233,16.17,51,3.54,182,12.63,2.83,635,57.99,228,20.82,9,0.82,6,0.55,217,19.82,363,33.15,65,5.94,144,13.15,209,19.09,274,25.02,392,35.8,220,20.1,87,7.95,133,12.15,4.24,6093.31,5446.93,4139.06,0.358918223,0.264552435
Cuyahoga,1042,836,78.06,113,10.55,4,0.37,5,0.47,113,10.55,158,14.75,100,9.34,185,17.27,285,26.61,347,32.4,274,25.58,165,15.4,45,4.2,120,11.2,2.76,650,84.31,69,8.95,14,1.82,7,0.91,31,4.02,71,9.21,26,3.37,78,10.12,104,13.49,258,33.46,218,28.27,191,24.77,28,3.63,163,21.14,6.41,515,71.03,131,18.07,5,0.69,9,1.24,65,8.97,72,9.93,32,4.41,59,8.14,91,12.55,314,43.31,256,35.31,64,8.82,22,3.03,42,5.79,6.97,2156.76,1552.63,1459.99,0.569836236,0.496578201
Cuyahoga,1043,762,85.52,57,6.4,4,0.45,1,0.11,67,7.52,94,10.55,94,10.55,201,22.56,295,33.11,247,27.72,228,25.59,121,13.58,29,3.25,92,10.33,2.02,568,80.68,72,10.23,10,1.42,3,0.43,51,7.24,86,12.22,57,8.1,113,16.05,170,24.15,248,35.23,219,31.11,67,9.52,14,1.99,53,7.53,3.14,612,85.36,51,7.11,2,0.28,17,2.37,35,4.88,41,5.72,28,3.91,40,5.58,68,9.48,323,45.05,268,37.38,58,8.09,26,3.63,32,4.46,9.54,13244.33,10464.66,10657.9,0.074371448,0.067274071
Cuyahoga,1044,412,66.67,72,11.65,3,0.49,9,1.46,122,19.74,181,29.29,42,6.8,114,18.45,156,25.24,189,30.58,172,27.83,101,16.35,25,4.05,76,12.3,2.96,411,60.98,148,21.96,4,0.59,1,0.15,110,16.32,176,26.11,44,6.53,114,16.91,158,23.44,145,21.51,272,40.36,99,14.69,20,2.97,79,11.72,3.27,373,56.34,191,28.85,10,1.51,5,0.76,83,12.54,174,26.28,49,7.4,84,12.69,133,20.09,162,24.47,266,40.18,101,15.26,38,5.74,63,9.52,3.98,4091.41,4462.15,4382.71,0.195287199,0.151048172
Cuyahoga,1045,950,77.49,139,11.34,18,1.47,6,0.49,113,9.22,147,11.99,152,12.4,239,19.49,391,31.89,366,29.85,312,25.45,157,12.81,43,3.51,114,9.3,2.14,743,68.54,203,18.73,15,1.38,12,1.11,111,10.24,202,18.63,87,8.03,249,22.97,336,31,313,28.87,308,28.41,127,11.72,35,3.23,92,8.49,2.23,640,72.23,176,19.86,1,0.11,11,1.24,58,6.55,89,10.05,30,3.39,98,11.06,128,14.45,404,45.6,279,31.49,75,8.46,33,3.72,42,4.74,5.92,10090.1,8921.43,7291.87,0.136073973,0.121505238
Cuyahoga,1046,784,68.83,37,3.25,2,0.18,5,0.44,311,27.3,470,41.26,123,10.8,241,21.16,364,31.96,312,27.39,293,25.72,170,14.93,51,4.48,119,10.45,2.13,479,48.98,146,14.93,9,0.92,24,2.45,320,32.72,492,50.31,94,9.61,235,24.03,329,33.64,270,27.61,277,28.32,102,10.43,27,2.76,75,7.67,1.97,406,48.51,221,26.4,2,0.24,5,0.6,203,24.25,391,46.71,74,8.84,124,14.81,198,23.66,206,24.61,329,39.31,104,12.42,34,4.06,70,8.36,3.23,10514.48,9028.24,7726.62,0.153027064,0.108326803
Cuyahoga,1047.01,17,3.6,443,93.86,0,0,0,0,12,2.54,14,2.97,91,19.28,149,31.57,240,50.85,130,27.54,86,18.22,16,3.39,6,1.27,10,2.12,0.97,35,5.98,538,91.97,1,0.17,1,0.17,10,1.71,20,3.42,118,20.17,207,35.38,325,55.56,149,25.47,99,16.92,12,2.05,7,1.2,5,0.85,0.8,74,17.7,286,68.42,1,0.24,3,0.72,54,12.92,61,14.59,72,17.22,95,22.73,167,39.95,163,39,73,17.46,15,3.58,7,1.67,8,1.91,1.5,5568.98,6902.23,4931.85,0.087269123,0.084755198
Cuyahoga,1047.02,771,71.85,121,11.28,4,0.37,14,1.3,163,15.19,197,18.36,114,10.62,187,17.43,301,28.05,323,30.1,255,23.77,194,18.08,40,3.73,154,14.35,2.56,685,72.64,140,14.85,15,1.59,7,0.74,96,10.18,159,16.86,64,6.79,195,20.68,259,27.47,268,28.42,288,30.54,128,13.58,26,2.76,102,10.82,2.64,595,71.17,160,19.14,1,0.12,6,0.72,74,8.85,136,16.27,57,6.82,101,12.08,158,18.9,314,37.56,259,30.98,105,12.56,30,3.59,75,8.97,4.29,3778.88,3321.04,2944.21,0.336078415,0.283946566
Cuyahoga,1048,1376,72.57,137,7.23,22,1.16,0,0,361,19.04,520,27.43,194,10.23,442,23.31,636,33.54,575,30.33,463,24.42,222,11.71,55,2.9,167,8.81,1.98,1279,65.22,249,12.7,9,0.46,58,2.96,366,18.66,660,33.66,147,7.5,529,26.98,676,34.47,530,27.03,565,28.81,190,9.69,47,2.4,143,7.29,1.9,830,52.77,360,22.89,6,0.38,17,1.08,360,22.89,519,32.99,133,8.46,324,20.6,457,29.05,390,24.79,569,36.17,157,9.98,51,3.24,106,6.74,2.44,1671.96,1729.28,1387.13,1.445010646,1.133998421
Cuyahoga,1049,2712,73.87,228,6.21,19,0.52,60,1.63,652,17.76,963,26.24,408,11.12,852,23.21,1260,34.33,1094,29.81,838,22.83,478,13.03,121,3.3,357,9.73,1.91,2330,64.33,391,10.8,29,0.8,25,0.69,847,23.38,1520,41.97,330,9.11,973,26.86,1303,35.97,924,25.51,1062,29.32,333,9.2,89,2.46,244,6.74,1.78,1499,52.67,575,20.2,25,0.88,21,0.74,726,25.51,1337,46.98,232,8.15,642,22.56,874,30.71,750,26.35,922,32.4,300,10.54,92,3.23,208,7.31,2.26,13528.57,13349.5,10489.42,0.342534355,0.271277748
Cuyahoga,1051,2740,89.08,91,2.96,8,0.26,54,1.76,183,5.95,312,10.14,311,10.11,524,17.04,835,27.15,919,29.88,819,26.63,503,16.36,130,4.23,373,12.13,2.68,2494,77,303,9.35,20,0.62,40,1.23,382,11.79,801,24.73,300,9.26,710,21.92,1010,31.18,752,23.22,962,29.7,515,15.9,132,4.08,383,11.82,2.21,1738,61.59,377,13.36,11,0.39,31,1.1,665,23.56,967,34.27,229,8.11,584,20.69,813,28.81,700,24.81,934,33.1,375,13.28,113,4,262,9.28,2.47,5173.7,5447.86,4746.48,0.654850494,0.59454549
Cuyahoga,1052,990,91.92,6,0.56,3,0.28,16,1.49,62,5.76,109,10.12,95,8.82,230,21.36,325,30.18,320,29.71,274,25.44,158,14.67,50,4.64,108,10.03,2.31,850,78.78,85,7.88,4,0.37,4,0.37,136,12.6,338,31.33,106,9.82,248,22.98,354,32.81,291,26.97,318,29.47,116,10.75,37,3.43,79,7.32,2.05,587,60.64,131,13.53,13,1.34,7,0.72,230,23.76,390,40.29,90,9.3,223,23.04,313,32.33,234,24.17,289,29.86,132,13.63,40,4.13,92,9.5,2.09,3227.73,3233.72,2901.06,0.367440895,0.333671032
